1;ACEVEDO;MIRANDA;VENEZUELA;ACE;A;1;5;
2;ACHAGUAS;APURE;VENEZUELA;ACH;A;1;5;
3;ACOSTA;FALCON;VENEZUELA;ACO;A;1;5;
4;ACOSTA;MONAGAS;VENEZUELA;ACO;A;1;5; 
5;AGUA BLANCA;PORTUGUESA;VENEZUELA;AGU;A;1;5;
6;AGUASAY;MONAGAS;VENEZUELA;AGU;A;1;5;
7;ALBERTO ADRIANI;MERIDA;VENEZUELA;ALB;A;1;5;
8;ALBERTO ARVELO TORREALBA;BARINAS;VENEZUELA;ALB;A;1;5;
9;ALMIRANTE PADILLA;ZULIA;VENEZUELA;ALM;A;1;5;
10;ALTAGRACIA;DISTRITO FEDERAL;VENEZUELA;ALT;A;1;5;
11;ALTO ORINOCO;AMAZONAS;VENEZUELA;ALT;A;1;5;
12;ANACO;ANZOATEGUI;VENEZUELA;ANA;A;1;5;
13;ANDRES BELLO;MERIDA;VENEZUELA;AND;A;1;5;
14;ANDRES BELLO;MIRANDA;VENEZUELA;AND;A;1;5;
15;ANDRES BELLO;TACHIRA;VENEZUELA;AND;A;1;5;
16;ANDRES BELLO;TRUJILLO;VENEZUELA;AND;A;1;5;
17;ANDRES ELOY BLANCO;BARINAS;VENEZUELA;AND;A;1;5;
18;ANDRES ELOY BLANCO;LARA;VENEZUELA;AND;A;1;5;
19;ANDRES ELOY BLANCO;SUCRE;VENEZUELA;AND;A;1;5;
20;ANDRES MATA;SUCRE;VENEZUELA;AND;A;1;5;
21;ANTIMANO;DISTRITO FEDERAL;VENEZUELA;ANT;A;1;5;
22;ANTOLIN DEL CAMPO;NUEVA ESPARTA;VENEZUELA;ANT;A;1;5;
23;ANTONIO DIAZ;DELTA AMACURO;VENEZUELA;ANT;A;1;5;
24;ANTONIO JOSE DE SUCRE;BARINAS;VENEZUELA;ANT;A;1;5;
25;ANTONIO PINTO SALINAS;MERIDA;VENEZUELA;ANT;A;1;5;
26;ANTONIO ROMULO COSTA;TACHIRA;VENEZUELA;ANT;A;1;5;
27;ANZOATEGUI;COJEDES;VENEZUELA;ANZ;A;1;5;
28;ARAGUA;ANZOATEGUI;VENEZUELA;ARA;A;1;5;
29;ARAURE;PORTUGUESA;VENEZUELA;ARA;A;1;5;
30;ARCHIPIELAGO DE LOS ROQUES;DEPENDENCIAS FEDERALES (DF);VENEZUELA;ARC;A;1;5;
31;ARICAGUA;MERIDA;VENEZUELA;ARI;A;1;5;
32;ARISMENDI;BARINAS;VENEZUELA;ARI;A;1;5;
33;ARISMENDI;NUEVA ESPARTA;VENEZUELA;ARI;A;1;5;
34;ARISMENDI;SUCRE;VENEZUELA;ARI;A;1;5;
35;ARISTIDES BASTIDAS;YURACUY;VENEZUELA;ARI;A;1;5;
36;ARZOBISPO CHACON;MERIDA;VENEZUELA;ARZ;A;1;5;
37;ATABAPO;AMAZONAS;VENEZUELA;ATA;A;1;5;
38;ATURES;AMAZONAS;VENEZUELA;ATU;A;1;5;
39;AUTANA;AMAZONAS;VENEZUELA;AUT;A;1;5;
40;AYACUCHO;TACHIRA;VENEZUELA;AYA;A;1;5;
41;BARALT;ZULIA;VENEZUELA;BAR;A;1;5;
42;BARCELONA;ANZOATEGUI;VENEZUELA;BAR;A;1;5;
43;BARINAS;BARINAS;VENEZUELA;BAR;A;1;5;
44;BARUTA;MIRANDA;VENEZUELA;BAR;A;1;5;
45;BEJUMA;CARABOBO;VENEZUELA;BEJ;A;1;5;
46;BENITEZ;SUCRE;VENEZUELA;BEN;A;1;5;
47;BERMUDEZ;SUCRE;VENEZUELA;BER;A;1;5;
48;BIRUACA;APURE;VENEZUELA;BIR;A;1;5;
49;BOCONO;TRUJILLO;VENEZUELA;BOC;A;1;5;
50;BOLIVAR;ARAGUA;VENEZUELA;BOL;A;1;5;
51;BOLIVAR;BARINAS;VENEZUELA;BOL;A;1;5;
52;BOLIVAR;FALCON;VENEZUELA;BOL;A;1;5;
53;BOLIVAR;MONAGAS;VENEZUELA;BOL;A;1;5;
54;BOLIVAR;SUCRE;VENEZUELA;BOL;A;1;5;
55;BOLIVAR;TACHIRA;VENEZUELA;BOL;A;1;5;
56;BOLIVAR;TRUJILLO;VENEZUELA;BOL;A;1;5;
57;BOLIVAR;YURACUY;VENEZUELA;BOL;A;1;5;
58;BRION;MIRANDA;VENEZUELA;BRI;A;1;5;
59;BRUZUAL;YURACUY;VENEZUELA;BRU;A;1;5;
60;BUCHIVACOA;FALCON;VENEZUELA;BUC;A;1;5;
61;BUROZ;MIRANDA;VENEZUELA;BUR;A;1;5;
62;CABIMAS;ZULIA;VENEZUELA;CAB;A;1;5;
63;CABUDARE;LARA;VENEZUELA;CAB;A;1;5;
64;CABUDARES;BARQUISIMETO;VENEZUELA;CAB;A;1;5;
65;CACIQUE MANAURE;FALCON;VENEZUELA;CAC;A;1;5;
66;CAJIGAL;SUCRE;VENEZUELA;CAJ;A;1;5;
67;CAMAGUAN;GUARICO;VENEZUELA;CAM;A;1;5;
68;CAMATAGUA;ARAGUA;VENEZUELA;CAM;A;1;5;
69;CAMPO ELIAS;MERIDA;VENEZUELA;CAM;A;1;5;
70;CANDELARIA;DISTRITO FEDERAL;VENEZUELA;CAN;A;1;5;
71;CANDELARIA;TRUJILLO;VENEZUELA;CAN;A;1;5;
72;CARABALLEDA;VARGAS;VENEZUELA;CAR;A;1;5;
73;CARACAS;DISTRITO FEDERAL;VENEZUELA;CAR;A;1;5;
74;CARACCIOLO PARRA OLMEDO;MERIDA;VENEZUELA;CAR;A;1;5;
75;CARACHE;TRUJILLO;VENEZUELA;CAR;A;1;5;
76;CARAYACA;VARGAS;VENEZUELA;CAR;A;1;5;
77;CARDENAL QUINTERO;MERIDA;VENEZUELA;CAR;A;1;5;
78;CARDENAS;TACHIRA;VENEZUELA;CAR;A;1;5;
79;CARICUAO;DISTRITO FEDERAL;VENEZUELA;CAR;A;1;5;
80;CARIPE;MONAGAS;VENEZUELA;CAR;A;1;5;
81;CARIRUBANA;FALCON;VENEZUELA;CAR;A;1;5;
82;CARLOS ALBERTO;CARABOBO;VENEZUELA;CAR;A;1;5;
83;CARLOS ARVELO;CARABOBO;VENEZUELA;CAR;A;1;5;
84;CARLOS SOUBLETTE;VARGAS;VENEZUELA;CAR;A;1;5;
85;CARONI;BOLIVAR;VENEZUELA;CAR;A;1;5;
86;CARRIZAL;MIRANDA;VENEZUELA;CAR;A;1;5;
87;CARUAO;VARGAS;VENEZUELA;CAR;A;1;5;
88;CASACOIMA;DELTA AMACURO;VENEZUELA;CAS;A;1;5;
89;CATATUMBO;ZULIA;VENEZUELA;CAT;A;1;5;
90;CATEDRAL;DISTRITO FEDERAL;VENEZUELA;CAT;A;1;5;
91;CATIA LA MAR;VARGAS;VENEZUELA;CAT;A;1;5;
92;CEDENO;BOLIVAR;VENEZUELA;CED;A;1;5;
93;CEDENO;MONAGAS;VENEZUELA;CED;A;1;5;
94;CHACAO;MIRANDA;VENEZUELA;CHA;A;1;5;
95;CHAGUARAMAS;GUARICO;VENEZUELA;CHA;A;1;5;
96;CHIMANAS;DEPENDENCIAS FEDERALES (DF);VENEZUELA;CHI;A;1;5;
97;CIUDAD BOLIVAR;BOLIVAR;VENEZUELA;CIU;A;1;5;
98;CIUDAD OJEDA;ZULIA;VENEZUELA;CIU;A;1;5;
99;COCHE;DISTRITO FEDERAL;VENEZUELA;COC;A;1;5;
100;COCOROTE;YURACUY;VENEZUELA;COC;A;1;5;
101;COLINA;FALCON;VENEZUELA;COL;A;1;5;
102;COLON;ZULIA;VENEZUELA;COL;A;1;5;
103;CORDOBA;TACHIRA;VENEZUELA;COR;A;1;5;
104;CORO;FALCON;VENEZUELA;COR;A;1;5;
